year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2027,SMC-4 (U15),5-10,severe,0.6,0.0,3.7,,,
2027,SMC-4 (U15),10-15,severe,0.6,0.0,4.2,,,
2027,SMC-4 (U15),U15,severe,4.0,0.0,11.3,,,
2027,SMC-5 (U10),U5,severe,4.4,0.0,15.0,,,
2027,SMC-5 (U10),5-10,severe,0.5,0.0,3.8,,,
2027,SMC-5 (U10),10-15,severe,0.6,0.0,4.4,,,
2027,SMC-5 (U10),U15,severe,2.1,0.0,6.0,,,
2027,SMC-5 (U15),U5,severe,4.3,0.0,13.1,,,
2027,SMC-5 (U15),5-10,severe,0.5,0.0,3.6,,,
2027,SMC-5 (U15),10-15,severe,0.1,0.0,2.1,,,
2027,SMC-5 (U15),U15,severe,1.9,0.0,5.8,,,
